iso3,year,agriculture_value
BRA,1960,0.0
BRA,1961,0.0
BRA,1962,0.0
BRA,1963,0.0
BRA,1964,0.0
BRA,1965,0.0
BRA,1966,0.0
BRA,1967,0.0
BRA,1968,0.0
BRA,1969,0.0
BRA,1970,0.0
BRA,1971,0.0
BRA,1972,0.0
BRA,1973,0.0
BRA,1974,0.0
BRA,1975,0.0
BRA,1976,0.0
BRA,1977,0.0
BRA,1978,0.0
BRA,1979,0.0
BRA,1980,0.0
BRA,1981,11.4508006149716
BRA,1982,5.6490539026237
BRA,1983,10.0561007922548
BRA,1984,11.8573320632089
BRA,1985,11.1453640115501
BRA,1986,10.3636386654384
BRA,1987,9.36152021128553
BRA,1988,9.79723660427779
BRA,1989,8.44158737716968
BRA,1990,6.96343671917276
BRA,1991,6.84138937730153
BRA,1992,6.80608488408303
BRA,1993,6.77810923883982
BRA,1994,8.72198937517673
BRA,1995,5.01166646465693
BRA,1996,4.76841120833167
BRA,1997,4.68504702548169
BRA,1998,4.75004478756631
BRA,1999,4.64598153820665
BRA,2000,4.7504599720911
BRA,2001,4.80104301895508
BRA,2002,5.47527489476281
BRA,2003,6.16718438742418
BRA,2004,5.66531157678895
BRA,2005,4.65116882266178
BRA,2006,4.37004377895807
BRA,2007,4.41691543617235
BRA,2008,4.56785118104723
BRA,2009,4.47677399214453
BRA,2010,4.11575648647055
BRA,2011,4.34203412828906
BRA,2012,4.16832822424109
BRA,2013,4.50688618165956
BRA,2014,4.32561053877362
BRA,2015,4.31914942931221
BRA,2016,4.89135358721066
BRA,2017,4.6005916952048
BRA,2018,4.4203993034602
BRA,2019,4.2050140951087
BRA,2020,5.7114851151592
BRA,2021,6.55876261207381
BRA,2022,5.76747490842218
BRA,2023,6.02306023514157
FRA,1960,10.1484983970751
FRA,1961,8.71811104626433
FRA,1962,9.42435111401664
FRA,1963,8.46106644330133
FRA,1964,7.65134955635797
FRA,1965,7.45518882827474
FRA,1966,7.2562559484233
FRA,1967,7.22912170874241
FRA,1968,6.99929805727027
FRA,1969,6.36707415175108
FRA,1970,6.32350889683139
FRA,1971,5.79288542322588
FRA,1972,6.4680166974781
FRA,1973,6.45671939248342
FRA,1974,5.13052303762004
FRA,1975,4.55482828580346
FRA,1976,4.30557383613474
FRA,1977,4.08042323446105
FRA,1978,3.9496921083797
FRA,1979,3.91512497382701
FRA,1980,3.41563785088454
FRA,1981,3.33926677836126
FRA,1982,3.84065071640816
FRA,1983,3.3955486373867
FRA,1984,3.16593850567096
FRA,1985,3.15221803900914
FRA,1986,3.05818780099865
FRA,1987,2.92256792569356
FRA,1988,2.69305175565178
FRA,1989,2.95985320818883
FRA,1990,2.97794544466016
FRA,1991,2.47177542612757
FRA,1992,2.45934288583764
FRA,1993,2.17161277383409
FRA,1994,2.27070751919673
FRA,1995,2.313383133861
FRA,1996,2.27526049667286
FRA,1997,2.21545959227374
FRA,1998,2.2355571969051
FRA,1999,2.11672166680524
FRA,2000,1.98449655121117
FRA,2001,2.00226015670254
FRA,2002,1.90378389721189
FRA,2003,1.74560664256609
FRA,2004,1.72018557547967
FRA,2005,1.58270403235962
FRA,2006,1.42706409375236
FRA,2007,1.516727357675
FRA,2008,1.42030674677991
FRA,2009,1.23241577481447
FRA,2010,1.50088040274637
FRA,2011,1.55137276231397
FRA,2012,1.52594468949115
FRA,2013,1.36140137870511
FRA,2014,1.46154600121993
FRA,2015,1.50360116027898
FRA,2016,1.33798472564444
